2023-02-07 21:10:33,239 INFO line:173 - Namespace(check_point='maml_init_params_epoch-5000_metalr-0.001_updatelr-0.1_v0_8_2.pt', clip_val=1.0, echo_step=10, epoch=5000, eval=True, eval_step=100, figure_dir='./fsl_figures/maml', k_qry=8, k_spt=2, logs_dir='./fsl_logs/maml', meta_lr=0.001, model_params_dir='./fsl_model_params/maml', n_way=3, no_cuda=False, pred=True, task_num=2, task_num_eval=2, task_num_test=2, test=True, train=True, update_lr=0.1, update_step=10, update_step_test=10)
------meta_train------
ETTh1_train: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (2000, 2, 8, 7), y_qry_shape (2000, 2, 2, 7)
ETTh2_train: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (2000, 2, 8, 7), y_qry_shape (2000, 2, 2, 7)
ETTm1_train: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (2000, 2, 8, 7), y_qry_shape (2000, 2, 2, 7)
ETTm2_train: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (2000, 2, 8, 7), y_qry_shape (2000, 2, 2, 7)
------meta_val------
ETTh1_val: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (624, 2, 8, 7), y_qry_shape (624, 2, 2, 7)
ETTh2_val: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (624, 2, 8, 7), y_qry_shape (624, 2, 2, 7)
ETTm1_val: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (624, 2, 8, 7), y_qry_shape (624, 2, 2, 7)
ETTm2_val: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (624, 2, 8, 7), y_qry_shape (624, 2, 2, 7)
------meta_test------
ETTh1_test: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (624, 2, 8, 7), y_qry_shape (624, 2, 2, 7)
ETTh2_test: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (624, 2, 8, 7), y_qry_shape (624, 2, 2, 7)
ETTm1_test: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (624, 2, 8, 7), y_qry_shape (624, 2, 2, 7)
ETTm2_test: x_spt_shape (500, 2, 8, 7), y_spt_shape (500, 2, 2, 7), x_qry_shape (624, 2, 8, 7), y_qry_shape (624, 2, 2, 7)
2023-02-07 21:10:35,377 INFO line:45 -  ------ meta training start ------ 
2023-02-07 21:10:35,487 INFO line:60 - step: 0, train_loss = 1.0101791900587664
2023-02-07 21:10:35,487 INFO line:67 -  ------ meta evaluating start ------ 
2023-02-07 21:10:35,526 INFO line:81 - mean eval loss on 2 meta eval tasks = 0.5018257233103091
2023-02-07 21:10:36,621 INFO line:60 - step: 10, train_loss = 0.9200346412859535
2023-02-07 21:10:37,738 INFO line:60 - step: 20, train_loss = 0.7408232598988957
2023-02-07 21:10:38,822 INFO line:60 - step: 30, train_loss = 0.4861844687399003
2023-02-07 21:10:39,937 INFO line:60 - step: 40, train_loss = 0.3286126178749143
2023-02-07 21:10:41,010 INFO line:60 - step: 50, train_loss = 0.2719331662124302
2023-02-07 21:10:42,063 INFO line:60 - step: 60, train_loss = 0.20773942527465442
2023-02-07 21:10:43,134 INFO line:60 - step: 70, train_loss = 0.1556341785669926
2023-02-07 21:10:44,214 INFO line:60 - step: 80, train_loss = 0.11382521113529905
2023-02-07 21:10:45,283 INFO line:60 - step: 90, train_loss = 0.09651701030904238
2023-02-07 21:10:46,402 INFO line:60 - step: 100, train_loss = 0.09220378644180763
2023-02-07 21:10:46,402 INFO line:67 -  ------ meta evaluating start ------ 
2023-02-07 21:10:46,442 INFO line:81 - mean eval loss on 2 meta eval tasks = 0.5327976977686479
2023-02-07 21:10:47,561 INFO line:60 - step: 110, train_loss = 0.08915447929530129
2023-02-07 21:10:48,659 INFO line:60 - step: 120, train_loss = 0.08604663270710647
2023-02-07 21:10:49,733 INFO line:60 - step: 130, train_loss = 0.08516326884416456
2023-02-07 21:10:50,784 INFO line:60 - step: 140, train_loss = 0.08310828167362819
2023-02-07 21:10:51,874 INFO line:60 - step: 150, train_loss = 0.08069739531548022
2023-02-07 21:10:52,994 INFO line:60 - step: 160, train_loss = 0.07944316365623577
2023-02-07 21:10:54,069 INFO line:60 - step: 170, train_loss = 0.07694369852261693
2023-02-07 21:10:55,109 INFO line:60 - step: 180, train_loss = 0.07751701925869103
2023-02-07 21:10:56,155 INFO line:60 - step: 190, train_loss = 0.07697023779206538
2023-02-07 21:10:57,237 INFO line:60 - step: 200, train_loss = 0.07485822607966232
2023-02-07 21:10:57,237 INFO line:67 -  ------ meta evaluating start ------ 
2023-02-07 21:10:57,277 INFO line:81 - mean eval loss on 2 meta eval tasks = 0.5338076441915655
2023-02-07 21:10:58,386 INFO line:60 - step: 210, train_loss = 0.07278181006370445
2023-02-07 21:10:59,506 INFO line:60 - step: 220, train_loss = 0.07142018527692548
2023-02-07 21:11:00,575 INFO line:60 - step: 230, train_loss = 0.06881216071474823
